"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","19","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","POST","","","TC3: Validar creación de nueva mascota con datos válidos.",""
"passed","Wed Jan 15 08:50:57 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","118","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","GET","","","TC6: Validar búsqueda de mascotas disponibles por estado.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","25","API Testing Coverage (Petstore)","US-003 USER | User Management","GET","","","TC32: Validar busqueda de usuario exitosamente con datos válidos.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","16","API Testing Coverage (Petstore)","US-003 USER | User Management","PUT","","","TC34: Validar actualización de datos de usuario correctamente",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","155","API Testing Coverage (Petstore)","US-003 USER | User Management","GET","","","TC39: Validar lógin fallido con credenciales incorrectas.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","14","API Testing Coverage (Petstore)","US-003 USER | User Management","GET","","","TC38: Validar lógin exitoso con credenciales válidas.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","36","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","DELETE","","","TC12: Validar eliminación de mascota por ID válido.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","20","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","GET","","","TC9: Validar que No existe mascota con ID inválido.",""
"failed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","74","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","GET","","","TC8: Validar obtención de detalles de mascotas por ID válido.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","30","API Testing Coverage (Petstore)","PET STORE | Order Flow","GET","","","TC14: Validar obtención exitosa del inventario de productos",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","28","API Testing Coverage (Petstore)","US-001 PET | Everything about your Pets","PUT","","","TC5: Validar actualización de datos de mascotas correctamente",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","16","API Testing Coverage (Petstore)","PET STORE | Order Flow","GET","","","TC24: Validar búsqueda  de un pedido con ID Inválido",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","19","API Testing Coverage (Petstore)","PET STORE | Order Flow","POST","","","TC16: Validar creación de pedido exitoso con productos del inventario.",""
"passed","Wed Jan 15 08:50:58 UTC 2025","Wed Jan 15 08:50:58 UTC 2025","27","API Testing Coverage (Petstore)","US-003 USER | User Management","POST","","","TC28: Validar creación de usuario exitosamente con datos válidos.",""
